,Runtime (Minutes),ProductionBudget,DomesticGross,c1,c2,c2
329,0.4049586776859505,1.0928435327196646,1.3184632231364384,0.41758134733424535,-0.6987194815119131,0.8830857512905864
106,0.6115702479338845,-0.8282058200763418,-0.6746912315632598,-0.7008772384303598,-0.7159953610544108,0.476286618438835
263,0.6033057851239669,1.9292098612297104,1.8016338015539932,1.0100052846681786,-0.08731554451659355,-0.2518862622671265
203,0.2975206611570249,-1.0055760141597996,-0.35292311690123257,-0.13048229789105795,0.8029901333904512,0.4457385693327129
164,0.3801652892561984,1.256802942769435,1.2065968093642496,1.0747640788085506,-0.055725915250239344,-0.35569958478838426
153,0.6776859504132231,-0.6236203165017705,-0.7629515940994721,-0.20113096266797514,-0.15117252866504424,-0.9024391523555637
483,0.42148760330578516,0.21265351974152005,0.9456994859168213,-0.7269291438287543,-0.2809171876172863,-0.4626939268887721
418,0.347107438016529,-1.0946395154673343,-0.9871314610238909,-0.10362995142306972,-0.4287852649597816,0.9419971659931028
284,0.38842975206611574,-0.2718946355611841,-0.8833953153898035,-0.16918614592629697,-0.6646688700021197,-0.10320077439247015
702,0.3719008264462811,-0.6236203165017705,-0.2264597603309449,0.5130689270112976,0.29226829567129825,-0.22797126783153707
250,0.2396694214876034,-1.4966445224083307,-1.5304980746077435,-0.13492199515012052,-0.5218171394253108,1.2564025623343997
283,0.38842975206611574,-0.209090041669874,0.4886620002434866,0.6532504292172697,-0.5533511862100496,0.2773625531578322
35,0.578512396694215,2.459145907611647,1.3866852224539032,1.0747640788085506,-0.05572591525023931,-0.3556995847883843
563,0.3553719008264463,-0.9778848578991329,-0.42422128710298523,-0.8334019645620041,-0.23115861951967684,-0.20781870797572813
179,0.28099173553719015,-1.1599246610557326,-0.9106881331330742,-0.7630806383929252,-0.3127587903956539,-0.49797265579961736
440,0.42148760330578516,0.442223810919451,-0.5204556392537019,-0.12787410093894658,-0.5114022079814772,-0.37293787471162954
382,0.5371900826446281,0.3096692564387791,0.28632503799093834,0.6989165978969272,-0.7142133233758232,0.6232877213244913
242,0.5371900826446281,1.0488344405412116,1.2266071885962924,0.3962637702091303,-0.7234291758722718,0.9428933127367676
328,0.2975206611570249,0.3703263779307338,-0.91825536205768,0.3962637702091303,-0.7234291758722718,0.9428933127367676
174,0.43801652892561993,-1.5523640248469697,-1.114643435557054,-0.87073410477674,0.6793560712261307,-0.18350132650732975
475,0.31404958677685957,1.6641214296273423,1.353382299519753,1.0747640788085506,-0.05572591525023931,-0.3556995847883843
13,0.17355371900826455,0.5102622954471617,1.9212154230284189,0.45924523463543593,1.1335790290050483,0.015582143289604906
210,0.3801652892561984,0.125356547263894,1.1241275154640096,0.31326546131473687,0.34794765203930905,0.6212855260385064
307,0.38842975206611574,0.29402717565127146,0.5484450599666976,-0.13048229789105792,0.8029901333904513,0.4457385693327126
168,0.42148760330578516,-0.3666285129183563,-0.13925655956581298,0.3907290008662582,0.5330559168383193,0.3868271546301928
421,0.4628099173553719,0.8058185170626824,-0.5808979453862151,0.8960100459715163,-0.15860634348290284,-0.4358324580576336
82,0.2975206611570249,-0.9778848578991329,-0.5334239997377079,-0.7008772384303609,-0.7159953610544133,0.47628661843883785
96,0.3305785123966942,1.4395273006890723,1.9052078609556267,-0.06286078287087747,0.029767893937024382,-0.753489376831986
504,0.49586776859504145,-0.9250701662125264,-0.5669415856464485,-0.04697866185185153,-0.015448167021874914,0.501368212797298
69,0.5123966942148761,-0.07173891710734476,0.3337478627513445,-0.16918614592629697,-0.6646688700021197,-0.10320077439247018
356,0.3801652892561984,-0.311446628080721,0.6028591226624558,0.6989165978969272,-0.7142133233758232,0.6232877213244913
525,0.5371900826446281,-1.3261451269608497,-1.2439742683023107,-0.6709446799168,-0.38413503347230393,-0.10529581867936319
650,0.2148760330578513,0.07915698200457204,-0.2248161336022496,0.47186249740234876,-0.5524309854559355,0.7072360437852256
664,0.6694214876033058,0.35093662758479066,-1.6496232733426843,-0.6256386505432412,-0.36314502418363304,-0.14810268221120876
548,0.3719008264462811,-0.6236203165017705,-1.3939808780035954,-0.20571784507143837,-0.5508514041694184,-0.5216053415912916
633,0.33884297520661166,-0.8282058200763418,-0.9150346853545617,-0.7772560021355986,-0.07076004908102461,-0.3824695179378571
16,0.4297520661157026,-0.9778848578991329,-0.08407920383205221,-0.7269291438287543,-0.28091718761728623,-0.4626939268887719
206,0.6363636363636365,1.6030987658338032,1.6724050246008524,0.9995254909214313,-0.40857625212101956,0.2686897158616622
621,0.2148760330578513,1.0928435327196646,1.2556274950586195,1.0739346360338933,0.11352869214576063,-0.24229746284344203
7,0.5123966942148761,-0.6236203165017705,0.8690959306136199,-0.7318009192235425,0.5670520994441623,-0.0818560381617887
272,0.47107438016528924,-0.8282058200763418,-0.34719698823645295,-0.8912512408322613,-0.14205084804733312,-0.5664157137283649
261,0.43801652892561993,-0.311446628080721,0.11318241782362667,-0.16918614592629697,-0.6646688700021197,-0.10320077439247018
495,0.42148760330578516,-0.008958148554340462,0.9260398595444198,0.31326546131473687,0.34794765203930905,0.6212855260385064
501,0.5867768595041323,0.125356547263894,-1.8164806117571428,-0.7008772384303609,-0.7159953610544133,0.47628661843883785
595,0.28099173553719015,-0.8282058200763418,0.17459682375314203,-0.057458455598599245,-0.3367088746263007,1.0219441909260862
679,0.28099173553719015,1.0928435327196646,0.037566821026294835,1.235194572804454,-0.2632079568191553,-0.3370334822710879
642,0.24793388429752072,0.695312284556475,0.8169359542083837,0.45924523463543593,1.1335790290050483,0.015582143289604906
372,0.2644628099173554,-1.6130850687419183,-2.38957881354859,-0.3977190835977511,-0.4538409810587105,-0.10929711620711367
584,0.2644628099173554,0.5234475120581527,1.920055206185261,0.45924523463543593,1.1335790290050483,0.015582143289604906
434,0.33884297520661166,0.6364665206437891,0.6992231331692276,-0.04227800542490827,1.1134839936885654,0.4203309484894653
94,0.2644628099173554,-0.2337699432309511,-0.17159179453829565,0.23099378626621456,1.071601131912647,-0.0977284429736715
613,0.23140495867768607,1.0928435327196646,1.0390180528468436,0.45924523463543593,1.1335790290050483,0.015582143289604906
331,0.41322314049586784,1.5396749768597737,1.1864086109618281,1.0000308180662438,-0.15563772462176528,0.002711572627986911
124,0.4545454545454546,-0.7834724838810256,-0.6160293813168958,0.334583038439853,0.3726573463996671,0.5614779645923217
233,0.38842975206611574,1.4046732728195976,0.23596669355342795,0.5778277211516695,0.323857924937653,-0.33178459035279584
673,0.33884297520661166,-1.0342121119187007,-0.10277895618192112,-0.5735640224420295,-0.15147439159663806,-0.38463755211357464
697,0.4793388429752068,-0.8282058200763418,-1.1309357755484375,-0.7500320095320115,-0.29411854179780694,-0.4903670297306152
447,0.39669421487603307,1.0034456682182897,0.6041530942685712,0.5384861039010234,-0.506731281806907,0.6046216188071948
290,0.25619834710743805,-1.7547001836059513,-1.4359707034155353,-0.1806138266124535,0.6702343906084196,-0.5195247651345282
